oid_shvil,width,shem_mikta,direction,bitzua,ms_orech,miflas,date_created,date_import,Shape_Length,geometry
1,2.5,נמיר מיוניצ'מן דרומה,דו סטרי,2012.0,95.1,,,20/08/2025 01:08:49,95.09675555792208,"[[34.80054067550826, 32.14000187424299], [34.80088738320331, 32.14061714604322], [34.80092838116729, 32.140703342582846], [34.80093261929056, 32.140785499203]]"
2,2.5,פרופס מנמיר עד קדושי השואה,דו סטרי,2013.0,201.14,,,20/08/2025 01:08:49,201.14451751148917,"[[34.79394100459393, 32.12299577880484], [34.793269604346165, 32.12305337065036], [34.79193435729799, 32.12328153444867], [34.791856740078664, 32.12332778646521]]"
3,2.1,יאיר רוזנבלום מאורי צבי גרינברג עד פרופס,דו סטרי,2004.0,696.31,,,20/08/2025 01:08:49,696.3147646691378,"[[34.793938917074165, 32.12299577203773], [34.79412742671888, 32.12375255409604], [34.794322167678814, 32.12451467649301], [34.794395790354436, 32.12484507521324], [34.79441225538776, 32.12489304920438], [34.79449024160893, 32.12517908531141], [34.79455588008198, 32.12542780174233], [34.79472905155552, 32.126351380616256], [34.79479396192566, 32.12676339811927], [34.79481880169641, 32.1268060786292], [34.79481854794292, 32.126862881016066], [34.794814007943685, 32.12694452263027], [34.79486153656894, 32.12704407973387], [34.794908536833596, 32.12726432952025], [34.79507573750159, 32.12812398816197], [34.795181729955196, 32.12867991816085], [34.79513361106924, 32.128709945235485], [34.79509374243439, 32.12876484303332], [34.79507679031606, 32.12882335890964], [34.79508273625213, 32.12889438437549], [34.79510706957256, 32.12905066054161], [34.795106697087945, 32.12913409212034]]"
4,2.5,"קק""ל מנמיר עד חיים לבנון",דו סטרי,2018.0,659.2,מדרכה,,20/08/2025 01:08:49,659.2028744592935,"[[34.79521688134332, 32.12242773673985], [34.795808158241655, 32.1223574674866], [34.79665144302947, 32.12222048180169], [34.7983955515337, 32.121923403044754], [34.800050978525185, 32.12164760570026], [34.800088040353906, 32.121579017248884], [34.80060542189429, 32.12150799358246], [34.80066381694234, 32.12153767168098], [34.80097720269142, 32.12149634446947], [34.801246254752556, 32.121449155327795], [34.80177964087784, 32.12135106752313], [34.80184647460323, 32.12133575853621], [34.801919173861215, 32.12126483088368], [34.80194199584496, 32.1212717668899], [34.801977592459124, 32.121290412557535]]"
5,2.0,רקנאטי בגינה מקרן קיימת לישראל עד אחימאיר,דו סטרי,2018.0,362.67,,1530316800000.0,20/08/2025 01:08:49,362.6712422306126,"[[34.801477726463354, 32.121684509738884], [34.80166357855451, 32.12256055131896], [34.801703206153604, 32.12267243523497], [34.80172836207411, 32.12275943803167], [34.801643886069144, 32.122889558052265], [34.801625403957075, 32.122945382708004], [34.80162509036996, 32.123016775810314], [34.801807113402845, 32.1239331595855], [34.80180322278999, 32.12398903065202], [34.801832147063365, 32.124048108185], [34.80194467619635, 32.124175743437426], [34.80199548280601, 32.124234890484175], [34.80259606348674, 32.1245410320135], [34.80259630645217, 32.12455885921235]]"
6,2.8,שביל 2426 מרדינג עד ברזיל,דו סטרי,2000.0,156.6,,,20/08/2025 01:08:49,156.59645439787644,"[[34.79552477390145, 32.11102612035554], [34.79584591071752, 32.10964067325224]]"
7,2.5,שי עגנון מאבן גבירול לאורך אשכול לוי,דו סטרי,2013.0,694.43,,,20/08/2025 01:08:49,694.4298172500658,"[[34.78161549702463, 32.10190950711103], [34.781612177817, 32.101934579160215], [34.78177776581155, 32.10201148313136], [34.781808064634845, 32.10207630437405], [34.78184149002019, 32.10212222652646], [34.78262533990033, 32.102184447031306], [34.783656377428635, 32.10231290216736], [34.78386154973839, 32.1023829956759], [34.78417531570655, 32.10242221227251], [34.78452604758325, 32.102423701848025], [34.78614910904454, 32.10261871700216], [34.78763360132104, 32.10280482383021], [34.7878561296729, 32.1028645595949], [34.78811867018929, 32.102913767386816], [34.788575948046194, 32.10295535375517], [34.78871439800176, 32.103044133481866]]"
8,2.0,איינשטיין מ- 2040 עד נמיר צד צפוני,,2012.0,413.56,,,20/08/2025 01:08:49,413.5630510839116,"[[34.784972404986696, 32.112075754523254], [34.78537109091966, 32.112124491864606], [34.7889578164028, 32.11245852216623], [34.789152151176175, 32.11248593346726], [34.78930514365272, 32.11255640437945]]"
9,2.5,שי עגנון מנמיר עד לוי אשכול,דו סטרי,2013.0,430.6,,,20/08/2025 01:08:49,430.5974136824032,"[[34.78886643336709, 32.10268907767577], [34.790577190361006, 32.10289465285562], [34.79088256028395, 32.102932803702764], [34.79096311420751, 32.10293878397954], [34.79106043656318, 32.1029476685666], [34.79118134468141, 32.10293949612037], [34.79129892018652, 32.102925586357415], [34.79161806051044, 32.10288661463652], [34.79199774331131, 32.10282497900669], [34.79218934825195, 32.10277416491977], [34.79227682422007, 32.102734437388435], [34.79240138545743, 32.102660535559515], [34.79253620337318, 32.10254379611395], [34.79261047635985, 32.10245258761697], [34.79264767467472, 32.102395553431045], [34.79266486611993, 32.102304159326586], [34.79268551623959, 32.10219276585718], [34.792682786138556, 32.102052718828], [34.792686682979415, 32.10193269492298]]"
10,2.8,משעול 2364,דו סטרי,2000.0,388.46,,,20/08/2025 01:08:49,388.4611482155887,"[[34.785202160022585, 32.10213287039506], [34.78603278897517, 32.101841247186876], [34.78908178280107, 32.10096815449837]]"
