oid_shvil,width,shem_mikta,direction,bitzua,ms_orech,miflas,date_created,date_import,Shape_Length,geometry
1,2.5,נמיר מיוניצ'מן דרומה,דו סטרי,2012.0,95.1,,,10/08/2025 00:26:47,95.09675555792208,"[[181348.33500000002, 671914.869], [181381.303, 671982.975], [181385.207, 671992.519], [181385.641, 672001.628]]"
2,2.5,פרופס מנמיר עד קדושי השואה,דו סטרי,2013.0,201.14,,,10/08/2025 00:26:47,201.14451751148914,"[[180718.461, 670031.388], [180655.126, 670038.016], [180529.217, 670063.799], [180521.912, 670068.956]]"
3,2.1,יאיר רוזנבלום מאורי צבי גרינברג עד פרופס,דו סטרי,2004.0,696.31,,,10/08/2025 00:26:47,696.3147646691378,"[[180718.26400000002, 670031.388], [180736.37300000002, 670115.241], [180755.072, 670199.684], [180762.15899999999, 670236.296], [180763.733, 670241.61], [180771.213, 670273.301], [180777.512, 670300.858], [180794.24300000002, 670403.213], [180800.54200000002, 670448.879], [180802.90399999998, 670453.603], [180802.90399999998, 670459.902], [180802.51, 670468.957], [180807.037, 670479.98], [180811.565, 670504.387], [180827.70500000002, 670599.656], [180837.941, 670661.266], [180833.413, 670664.613], [180829.674, 670670.715], [180828.099, 670677.21], [180828.69, 670685.084], [180831.05200000003, 670702.405], [180831.05200000003, 670711.657]]"
4,2.5,"קק""ל מנמיר עד חיים לבנון",דו סטרי,2018.0,659.2,מדרכה,,10/08/2025 00:26:47,659.2028744592935,"[[180838.625, 669967.939], [180894.39399999997, 669959.935], [180973.91700000002, 669944.443], [181138.38400000002, 669910.878], [181294.49200000003, 669879.707], [181297.961, 669872.088], [181346.75699999998, 669864.029], [181352.28009999997, 669867.2994], [181381.8373, 669862.6058], [181407.2083, 669857.2779], [181457.5036, 669846.2126], [181463.80440000002, 669844.4914], [181470.63569999998, 669836.6005], [181472.79229999997, 669837.3616], [181476.1593, 669839.4167]]"
5,2.0,רקנאטי בגינה מקרן קיימת לישראל עד אחימאיר,דו סטרי,2018.0,362.67,,1530316800000.0,10/08/2025 00:26:47,362.6712422306126,"[[181429.15000000002, 669883.295], [181447.05200000003, 669980.375], [181450.838, 669992.768], [181453.24800000002, 670002.407], [181445.33000000002, 670016.866], [181443.609, 670023.063], [181443.609, 670030.98], [181461.16600000003, 670132.535], [181460.822, 670138.732], [181463.576, 670145.273], [181474.24800000002, 670159.387], [181479.06699999998, 670165.928], [181535.869, 670199.665], [181535.8993, 670201.6418]]"
6,2.8,שביל 2426 מרדינג עד ברזיל,דו סטרי,2000.0,156.6,,,10/08/2025 00:26:47,156.59645439787644,"[[180862.88390000002, 668703.487], [180892.61090000003, 668549.738]]"
7,2.5,שי עגנון מאבן גבירול לאורך אשכול לוי,דו סטרי,2013.0,694.43,,,10/08/2025 00:26:47,694.4298172500658,"[[179546.14289999998, 667697.5979], [179545.8405, 667700.3794], [179561.5039, 667708.8461], [179564.392, 667716.023], [179567.56699999998, 667721.103], [179641.582, 667727.713], [179738.95770000003, 667741.5773], [179758.3543, 667749.2745], [179787.9877, 667753.5078], [179821.09399999998, 667753.544], [179974.37900000002, 667774.574], [180114.58000000002, 667794.669], [180135.61, 667801.212], [180160.41220000002, 667806.573], [180203.59230000002, 667811.018], [180216.6985, 667820.8125]]"
8,2.0,איינשטיין מ- 2040 עד נמיר צד צפוני,,2012.0,413.56,,,10/08/2025 00:26:47,413.56305108391155,"[[179867.39020000002, 668823.7091], [179905.0393, 668828.9673], [180243.69799999997, 668864.698], [180262.05099999998, 668867.667], [180276.52049999998, 668875.426]]"
9,2.5,שי עגנון מנמיר עד לוי אשכול,דו סטרי,2013.0,430.6,,,10/08/2025 00:26:47,430.59741368240316,"[[180230.8973, 667781.3846], [180392.463, 667803.56], [180421.303, 667807.68], [180428.90899999999, 667808.314], [180438.099, 667809.264], [180449.50799999997, 667808.314], [180460.59999999998, 667806.729], [180490.707, 667802.292], [180526.51899999997, 667795.32], [180544.58299999998, 667789.616], [180552.82299999997, 667785.179], [180564.549, 667776.939], [180577.22499999998, 667763.945], [180584.197, 667753.804], [180587.684, 667747.466], [180589.26799999998, 667737.325], [180591.16999999998, 667724.965], [180590.853, 667709.436], [180591.16999999998, 667696.125]]"
10,2.8,משעול 2364,דו סטרי,2000.0,388.46,,,10/08/2025 00:26:47,388.46114821558865,"[[179884.787, 667721.045], [179963.065, 667688.402], [180250.489, 667590.471]]"
