station_id,station_name,x_itm,y_itm,lon,lat,bikes_available,docks_available,event_time,unique_id,object_id,guid
404,שארית ישראל,177880.28,662147.88,34.76420722911376,32.051805853634875,0,0,2025-08-13 20:43:12,835-404,30146,60e18c6371622c17c27f510d
407,"מכללת ת""א עזה מול 34",177443.16,661662.07,34.7596,32.04741,0,0,2025-08-13 20:43:12,835-407,30147,60e41a7d71622c17c27f51a2
101,חוף הצוק הצפוני מלון מנדרין,180586.34,672323.97,34.7924482,32.1436635,2,0,2025-08-13 20:43:12,835-101,30148,60f6980cbb37a6d2dc049b0d
102,חוף הצוק הדרומי סאמט שמעון,180449.89,671939.32,34.7910176,32.1401902,1,0,2025-08-13 20:43:12,835-102,30149,60f6980cbb37a6d2dc049b0e
114,לוי אשכול 26,180240.26,667960.44,34.78895833068849,32.104302460103035,2,0,2025-08-13 20:43:12,835-114,30150,60f6980cbb37a6d2dc049b19
120,הגוש הגדול אמיר גלבע 17,180215.87,669206.35,34.788649,32.115537,4,0,2025-08-13 20:43:12,835-120,30151,60f6980cbb37a6d2dc049b1d
231,ראול ולנברג פינת הנחושת,184795.18,668582.75,34.83719255819703,32.110069725504225,0,0,2025-08-13 20:43:12,835-231,30152,60f6980cbb37a6d2dc049b38
323,תשח 2,180018.11,665785.63,34.786694,32.084683,0,0,2025-08-13 20:43:12,835-323,30153,60f6980cbb37a6d2dc049b4f
347,בוגרשוב 45 פינת פינסקר,178570.27,664829.77,34.771399,32.076014,2,0,2025-08-13 20:43:12,835-347,30154,60f6980cbb37a6d2dc049b62
353,מתחם גבעון ,179825.76,664187.33,34.7847225,32.0702634,0,0,2025-08-13 20:43:12,835-353,30155,60f6980cbb37a6d2dc049b65
355,הרברט סמואל 32,177862.05,664277.55,34.763922,32.07101,8,0,2025-08-13 20:43:12,835-355,30156,60f6980cbb37a6d2dc049b67
206,נווה שרת הצנחנים 2,185012.57,669443.82,34.839465,32.117842,1,0,2025-08-13 20:43:12,835-206,30157,60f6980cbb37a6d2dc049b28
220,קדש ברנע מול בית 9,182660.21,668775.94,34.814565,32.111739,2,0,2025-08-13 20:43:12,835-220,30158,60f6980cbb37a6d2dc049b36
230,כיכר הברזל פינת הארד,185215.65,668623.51,34.841646,32.1104516,4,0,2025-08-13 20:43:13,835-230,30159,60f6980cbb37a6d2dc049b37
316,ויצמן 60 - בית החייל,180402.65,666453.41,34.79074,32.090718,3,0,2025-08-13 20:43:13,835-316,30160,60f6980cbb37a6d2dc049b48
317,פנקס  69,180759.29,666521.92,34.794515,32.091348,1,0,2025-08-13 20:43:13,835-317,30161,60f6980cbb37a6d2dc049b49
108,פרלוק 4,180460.84,669026.23,34.791252,32.113921,0,0,2025-08-13 20:43:13,835-108,30162,60f6980cbb37a6d2dc049b13
214,תל ברוך ביהס אלחריזי,182508.48,669435.21,34.812932,32.117679,0,0,2025-08-13 20:43:13,835-214,30163,60f6980cbb37a6d2dc049b30
301,נמל תל אביב כיכר שלוותה,178982.76,667557.61,34.77565282936097,32.10062698961141,11,0,2025-08-13 20:43:13,835-301,30164,60f6980cbb37a6d2dc049b39
306,אלוני ניסים 8,180993.63,666206.66,34.79701,32.088513,0,0,2025-08-13 20:43:13,835-306,30165,60f6980cbb37a6d2dc049b3e
354,בן יהודה 1,178277.97,664508.63,34.768317,32.073108,0,0,2025-08-13 20:43:13,835-354,30166,60f6980cbb37a6d2dc049b66
106,רודנסקי מרכז מסחרי,180569.82,669753.44,34.7923772,32.1204826,0,0,2025-08-13 20:43:13,835-106,30167,60f6980cbb37a6d2dc049b11
112,אוניברסיטה איינשטיין 75,181373.4,668969.76,34.800923262565604,32.11344291081134,1,0,2025-08-13 20:43:13,835-112,30168,60f6980cbb37a6d2dc049b17
213,שלום אש מרכז מסחרי,183291.8,668240.82,34.821277,32.106935,0,0,2025-08-13 20:43:13,835-213,30169,60f6980cbb37a6d2dc049b2f
314,נורדאו 101בשדרה,179636.46,666570.19,34.782619,32.091745,4,0,2025-08-13 20:43:13,835-314,30170,60f6980cbb37a6d2dc049b46
330,שדרות בן גוריון 68,179127.07,665595.38,34.777264,32.082937,8,0,2025-08-13 20:43:13,835-330,30171,60f6980cbb37a6d2dc049b55
335,דיזנגוף 126,178804.06,665423.72,34.77385,32.081378,2,0,2025-08-13 20:43:13,835-335,30172,60f6980cbb37a6d2dc049b5a
365,המסגר/יצחק שדה,179946.2,663581.04,34.78602294973754,32.06480010533197,1,0,2025-08-13 20:43:13,835-365,30173,60f6980cbb37a6d2dc049b70
205,"צה""ל מול בית 76",184586.41,669840.21,34.834935,32.121402,2,0,2025-08-13 20:43:13,835-205,30174,60f6980cbb37a6d2dc049b27
216,תחנת רכבת אונברסיטה,181766.34,667837.18,34.805131,32.103243,8,0,2025-08-13 20:43:14,835-216,30175,60f6980cbb37a6d2dc049b32
308,קוסובסקי 34 -גני יהושוע,181064.79,667276.83,34.797721,32.098166,3,0,2025-08-13 20:43:14,835-308,30176,60f6980cbb37a6d2dc049b40
318,בן יהודה 192,178803.26,666285.13,34.773805,32.089146,4,0,2025-08-13 20:43:14,835-318,30177,60f6980cbb37a6d2dc049b4a
336,בן גוריון 55 -בשדרה,178912.07,665731.7,34.774981,32.084159,3,0,2025-08-13 20:43:14,835-336,30178,60f6980cbb37a6d2dc049b5b
345,ויצמן 1 -  בית המשפט,180189.76,664953.73,34.788546110450746,32.077186999971566,4,0,2025-08-13 20:43:14,835-345,30179,60f6980cbb37a6d2dc049b60
357,רוטשילד 140,179305.08,664337.63,34.779202,32.071601,3,0,2025-08-13 20:43:14,835-357,30180,60f6980cbb37a6d2dc049b68
